"Country name","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Austria",1.155603819,1.081076097,1.271473031,1.063113505,0.986622334,0.855174203,0.630384715,0.363462539,0.317268981,0.278873079
"Belgium",2.088364569,2.110028438,2.160663156,2.099986275,2.034063307,1.99403004,1.916018146,1.873484298,1.861229667,1.62861255
"Bulgaria",1.821883192,1.770214794,1.759029972,1.79343443,1.700870412,1.678327794,1.633706144,1.617671009,1.681693566,2.186242001
"Croatia",1.38527481,1.185780305,1.191888422,1.123614088,1.142689085,1.023740335,0.995491973,0.979230942,0.928164578,0.790004001
"Cyprus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Czechia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denmark",1.734961333,1.764135959,1.96006758,1.657780642,1.605349809,1.608343688,1.423610785,1.396314819,1.477849603,1.692064087
"Estonia",2.112994588,1.800803034,1.608721109,1.460441529,1.440894568,1.561632218,1.283526248,1.238644615,1.350671986,1.352528419
"Finland",4.720194451,4.679630178,4.319545642,4.122711885,3.936344068,3.726268012,3.289591377,3.047375445,2.980692987,2.369538737
"France",3.071661432,3.298859842,3.352708672,3.213936116,3.261917545,3.241350835,3.001219205,3.142459256,3.204619096,2.910564054
"Germany",2.61,2.34,2.42,2.11,1.97,1.9,1.76,1.64,1.56,1.45
"Greece",2.436487985,1.909325363,1.825074784,2.365848743,2.576653303,2.691669947,2.788556545,2.941541079,3.038129751,2.983917118
"Hungary",1.282415142,1.181985958,1.181330823,1.178677451,1.206931731,1.105356085,1.068829183,1.110107206,1.130838772,1.168550825
"Iceland",4.890507676,4.779258593,4.666774869,4.418362428,4.587982176,4.62038219,4.956500663,5.019012315,5.137008374,4.690627492
"Ireland",2.783727026,2.926497273,2.956386698,2.719311168,2.572143337,2.543339092,2.796009949,2.611870384,2.985865404,2.968655765
"Italy",0.514308741,0.535478596,0.554945134,0.578840301,0.546769521,0.561383864,0.477027378,0.515449424,0.556035374,0.581141276
"Latvia",2.526341291,2.521628501,2.352095457,2.190602235,2.178370884,2.180513053,2.167951569,2.062383732,2.24184701,2.229877688
"Lithuania",NA,1.530015218,1.543099529,1.368131762,1.326111047,1.453827742,1.399452667,1.33498319,1.424495083,1.491004227
"Luxembourg",1.985195843,1.8753361,1.852602447,1.726681917,1.685844752,1.777082787,1.085216121,2.073870761,2.044675241,1.585092038
"Malta",1.058200788,1.679956025,1.003048274,1.201621905,0.745330399,1.769807722,1.604742632,1.497661432,1.742598843,2.082396023
"Netherlands",2.603018693,2.492943249,2.326128381,2.234048608,2.251060511,2.097835373,1.984130443,1.937918303,1.828773712,1.542469032
"Norway",3.094996478,3.44919175,3.243745014,3.118408308,3.078138041,2.885437369,2.727994484,2.623277774,2.708991198,2.481788303
"Poland",2.065956595,2.394229745,2.507519623,2.395414854,2.392724805,2.339625545,2.393413593,2.280184618,2.156127007,1.752960388
"Portugal",1.021631114,1.078851665,0.75314907,0.826539442,0.825737276,0.805069805,0.825094171,0.853310605,0.860936693,0.81330229
"Romania",1.343736369,1.332065802,1.189220763,1.13253635,1.103443536,0.932133682,0.84704532,0.949244075,0.868193531,1.010306713
"Slovakia",1.451365662,1.372088021,1.582729621,1.668592835,1.733739237,1.674947078,1.62281349,1.70156238,1.682408683,1.655692913
"Slovenia",0.316124288,0.428320771,0.458822155,0.450239766,0.415209039,0.484986379,0.472935867,0.514788704,0.544032267,0.531387556
"Spain",0.697714188,0.677496433,0.742528361,0.793354926,0.738167601,1.478949225,1.47071979,1.482186855,1.500827467,1.462044596
"Sweden",3.543358609,3.436702199,2.84881264,2.656212177,2.544072233,2.403527626,2.346935587,2.160970605,2.136992622,1.920735158
"EU/EEA*",2.03634848871602,2.02530875534193,2.04789451176342,1.95721286103961,1.91705747941413,1.86420429363886,1.76991810730892,1.75944406985017,1.76033275456811,1.6380887127965
"United Kingdom",4.321853328,4.640311421,4.899782395,5.032657375,4.975005407,4.862987937,4.810592592,4.633222421,4.818431554,NA
